客户	ERP CO.	工单号	产品码	款号	订单数量	订单交期
SJK	C010963-001	A01-001	FG23	SJ01614F54	100	2008/2/3
SD	C014441-001	A01-001	FG11	00584307RL	1450	2009/2/15
MEC	C018233-001	A01-001	FG92321	242793	30	2008/3/3
SD	C014441-002	A01-002	FG11	00584307LL	1150	2009/2/15
SJK	C010965-001	A01-003	FG23	SJ01633I54	250	2008/1/5
SD	C010733-007	A01-003	FG11	00584607RR	1500	2009/2/15
MEC	C010965-001	A01-003	FG92321	242795	156	2008/3/3
SJK	C011494-001	A01-004	FG11	SJ0529	200	2008/2/3
SD	C010734-001	A01-004	FG11	00584607LR	700	2009/2/15
MEC	C011494-001	A01-004	FG92321	242796	84	2008/3/3
SJK	C012608-001	A01-005	FG11	SJ0530	100	2008/1/27
SJK	C012608-001	A01-005	FG23	SJ01614F44-07	350	2009/2/2
MEC	C012608-001	A01-005	FG92321	242797	48	2008/3/3
SJK	C011495-001	A01-006	FG11	SJ0530	50	2008/2/3
SJK	C011495-001	A01-006	FG23	SJ01614F54-07	200	2009/2/2
MEC	C011495-001	A01-006	FG92321	242798	6	2008/3/3
SJK	C011496-001	A01-007	FG24	SJ0531	700	2008/2/3
SJK	C011496-001	A01-007	FG23	SJ01621G44	1500	2009/2/19
MEC	C011496-001	A01-007	FG92321	242799	54	2008/3/3
SJK	C011497-001	A01-008	FG24	SJ0532	300	2008/1/5
SJK	C011497-001	A01-008	FG23	SJ01621G54	1000	2009/2/2
MEC	C011497-001	A01-008	FG92321	242800	54	2008/3/3
SJK	C011498-001	A01-009	FG24	SJ0533	1000	2008/2/3
SJK	C011498-001	A01-009	FG23	SJ01633I44	1500	2009/2/2
MEC	C011498-001	A01-009	FG92321	242801	42	2008/3/3
SJK	C011499-001	A01-010	FG24	SJ0534	200	2008/2/3
SJK	C011499-001	A01-010	FG23	SJ01633I54	1000	2009/2/2
MEC	C011499-001	A01-010	FG92321	242802	18	2008/3/3
SD	C010734-009	A01-011	FG01	00589106RL	48	2008/1/15
SJK	C011598-001	A01-011	FG23	SJ01646F44	250	2009/2/2
MEC	C011598-001	A01-011	FG91321	242751	30	2008/3/3
SD	C010734-010	A01-012	FG01	00589106LL	48	2008/1/15
SJK	C011598-002	A01-012	FG23	SJ01646F54	150	2009/2/2
MEC	C011598-002	A01-012	FG91321	242752	96	2008/3/3
SD	C010734-011	A01-013	FG01	00589206RL	80	2008/1/15
SJK	C011598-003	A01-013	FG23	SJ01654A44-07	300	2009/2/2
MEC	C011598-003	A01-013	FG91321	242753	144	2008/3/3
SD	C010734-012	A01-014	FG01	00589206LL	48	2008/1/15
SJK	C011598-004	A01-014	FG23	SJ01654A64-07	100	2009/2/2
MEC	C011598-004	A01-014	FG91321	242754	78	2008/3/3
SD	C010734-015	A01-015	FG01	00589306RL	24	2008/1/15
SJK	C011598-005	A01-015	FG31	SJ0522	300	2009/2/2
MEC	C011598-005	A01-015	FG91321	242755	30	2008/3/3
SD	C010734-016	A01-016	FG01	00589306LL	24	2008/1/15
SJK	C011598-006	A01-016	FG31	SJ0523	100	2009/1/8
MEC	C011598-006	A01-016	FG91321	242761	18	2008/3/3
SD	C010734-017	A01-017	FG01	00589406RR	24	2008/1/15
SJK	C011598-007	A01-017	FG31	SJ0524	200	2009/3/4
MEC	C011598-007	A01-017	FG91321	242762	54	2008/3/3
SD	C010734-018	A01-018	FG01	00589406LR	24	2008/1/15
SJK	C011598-008	A01-018	FG24	SJ0531	750	2009/2/2
MEC	C011598-008	A01-018	FG91321	242763	84	2008/3/3
SJK	C011598-009	A01-019	FG24	SJ0532	250	2008/12/15
MEC	C011598-009	A01-019	FG91321	242764	48	2008/3/3
SJK	C011598-010	A01-020	FG24	SJ0535	250	2008/12/15
MEC	C011598-010	A01-020	FG91321	242765	18	2008/3/3
SD	C010734-021	A01-021	FG01	00589906RL	24	2008/1/15
SJK	C011598-011	A01-021	FG23	SJ01621G44	1000	2009/3/2
MEC	C011598-011	A01-021	FG92321	242772	24	2008/3/3
SD	C010734-022	A01-022	FG01	00589906LL	30	2008/1/15
SJK	C011598-012	A01-022	FG23	SJ01621G54	1000	2009/3/4
MEC	C011598-012	A01-022	FG92321	242773	78	2008/3/3
SD	C010734-023	A01-023	FG01	00588906RR	24	2008/1/15
SJK	C011598-013	A01-023	FG23	SJ01633I44	1500	2009/3/4
MEC	C011598-013	A01-023	FG92321	242774	114	2008/3/3
SD	C010734-024	A01-024	FG01	00588906LR	20	2008/1/15
SJK	C011598-014	A01-024	FG23	SJ01633I54	500	2009/3/11
MEC	C011598-014	A01-024	FG92321	242775	66	2008/3/3
SD	C010734-025	A01-025	FG01	00583906RL	16	2008/4/24
SJK	C011598-015	A01-025	FG23	SJ01646F44	250	2009/3/11
MEC	C011598-015	A01-025	FG92321	242776	36	2008/3/3
SD	C010734-026	A01-026	FG01	00583906LL	16	2008/4/24
SJK	C011598-016	A01-026	FG23	SJ01654A44-07	300	2009/3/11
MEC	C011598-016	A01-026	FG92321	242777	12	2008/3/3
SD	C010734-027	A01-027	FG01	00584006RR	60	2008/1/15
SJK	C011598-017	A01-027	FG23	SJ01654A64-07	100	2009/3/11
MEC	C011598-017	A01-027	FG92321	242778	84	2008/3/3
SJK	C011598-018	A01-028	FG24	SJ0531	750	2008/11/9
MEC	C011598-018	A01-028	FG92321	242779	84	2008/3/3
MEC	C011598-019	A01-029	FG92321	242780	72	2008/3/3
SD	C011636-001	A01-030	FG01	00588506RR	60	2008/1/15
CRP	C011598-020	A01-030	FG31	SG11098F-C	432	2009/2/2
MEC	C011598-020	A01-030	FG92321	242781	30	2008/3/3
MEC	C011598-021	A01-031	FG91321	242728	30	2008/3/3
MEC	C011598-022	A01-032	FG91321	242729	96	2008/3/3
MEC	C011598-023	A01-033	FG91321	242731	144	2008/3/3
SJK	C014932-001	A01-034	FG24	SJ0532	350	2008/12/15
MEC	C014932-001	A01-034	FG91321	242733	78	2008/3/3
SD	C011846-001	A01-035	FG01	00585106LL	76	2008/1/15
SJK	C011598-025	A01-035	FG23	SJ01614F54-07	300	2009/1/1
MEC	C011598-025	A01-035	FG91321	242734	30	2008/3/3
SD	C011870-003	A01-037	FG01	00585206LR	76	2008/1/15
SJK	C011598-027	A01-037	FG23	SJ01654A44-07	700	2009/3/2
MEC	C011598-027	A01-037	FG91321	242741	54	2008/3/3
SD	C011870-004	A01-038	FG01	00585306RL	80	2008/1/15
SJK	C011598-028	A01-038	FG23	SJ01654A64-07	250	2009/3/2
MEC	C011598-028	A01-038	FG91321	242742	84	2008/3/3
SD	C011904-001	A01-039	FG01	00585306LL	60	2008/1/15
SJK	C011598-029	A01-039	FG31	SJ0522	300	2009/3/2
MEC	C011598-029	A01-039	FG91321	242743	48	2008/3/3
SD	C011905-001	A01-040	FG01	00585406RR	80	2008/1/15
SJK	C011598-030	A01-040	FG31	SJ0524	200	2009/1/8
MEC	C011598-030	A01-040	FG91321	242744	18	2008/3/3
WENZEL	C011598-031	A01-041	FG31	49101	250	2008/12/1
SD	C012142-001	A01-042	FG01	00585506RL	16	2008/1/15
CRP	C011598-032	A01-042	FG31	76-0794-0	236	2009/3/17
SD	C012143-001	A01-043	FG01	00585506LL	16	2008/1/15
CRP	C011598-033	A01-043	FG31	76-0795-8	200	2009/3/14
SD	C012150-001	A01-044	FG01	00586606RR	16	2008/1/15
CRP	C011598-034	A01-044	FG31	76-0794-0	456	2009/5/8
CRP	C011598-034	A01-044	FG31	76-0794-0	344	2009/4/15
CRP	C011598-034	A01-044	FG31	76-0794-0	8	2009/4/6
CRP	C011598-034	A01-044	FG31	76-0794-0	192	2009/4/6
SD	C012151-001	A01-045	FG01	00586606LR	16	2008/1/15
CRP	C011598-035	A01-045	FG31	76-0795-8	220	2009/5/8
CRP	C011598-035	A01-045	FG31	76-0795-8	460	2009/4/15
CRP	C011598-035	A01-045	FG31	76-0795-8	16	2009/4/5
CRP	C011598-035	A01-045	FG31	76-0795-8	184	2009/4/5
CRP	C011598-035	A01-045	FG31	76-0795-8	120	2009/5/8
SD	C012238-001	A01-046	FG13	00589706SL	60	2008/1/15
SJK	C011598-036	A01-046	YG01	SJ0545	400	2009/2/9
SD	C012410-001	A01-047	FG01	00589606SL	40	2008/1/15
SJK	C011598-037	A01-047	FG23	SJ0610	200	2009/2/19
SD	C012411-001	A01-048	FG13	00586506RL	40	2008/1/15
SJK	C011598-038	A01-048	FG24	SJ0535	300	2009/2/2
SD	C012909-001	A01-049	FG13	00586506LL	32	2008/1/15
SJK	C011598-039	A01-049	FG24	SJ0531	750	2009/2/9
SD	C012399-004	A01-050	FG26	58690600	48	2008/1/15
SJK	C011598-040	A01-050	FG23	SJ0610	200	2009/3/25
SJK	C011613-001	A01-051	FG25	SJ01323	100	2008/2/3
SJK	C011613-001	A01-051	FG24	SJ0531	500	2009/3/2
SJK	C011614-001	A01-052	FG25	SJ01324	52	2008/2/3
SJK	C011614-001	A01-052	FG24	SJ0532	500	2009/2/5
SJK	C011615-001	A01-053	FG25	SJ01325	52	2008/2/3
SJK	C011615-001	A01-053	FG24	SJ0535	200	2009/3/2
SJK	C011617-001	A01-055	FG23	SJ01654A44	500	2008/2/3
KELTY	C011617-001	A01-055	FG25	31003131NB	240	2009/2/5
SJK	C011622-001	A01-056	FG31	SJ05123G24	300	2008/2/3
KELTY	C011622-001	A01-056	FG25	31003151NB	120	2009/2/5
SJK	C011626-001	A01-057	YG01	SJ01573I44	72	2008/1/5
KELTY	C011626-001	A01-057	FG25	31007121NB	54	2009/2/5
SJK	C011627-001	A01-058	YG01	SJ01573I54	24	2008/2/3
KELTY	C011627-001	A01-058	FG25	31007131NB	48	2009/2/5
SD	C012326-001	A01-060	FG19	00582306RL	42	2008/1/20
KELTY	C011666-001	A01-060	FG11	33005421	120	2009/2/19
SD	C012327-001	A01-061	FG19	00582306LL	12	2008/1/20
KELTY	C011666-002	A01-061	FG11	33005431	480	2009/2/19
SD	C012327-002	A01-062	FG19	00582406RL	28	2008/1/20
KELTY	C011666-003	A01-062	FG11	33005451	90	2009/2/19
SD	C012327-003	A01-063	FG19	00582406LL	24	2008/1/20
KELTY	C011666-004	A01-063	FG11	33005531	60	2009/2/19
SD	C012328-001	A01-064	FG11	00584806LL	20	2008/1/20
KELTY	C011666-005	A01-064	FG11	33005551	30	2009/2/19
SD	C012329-001	A01-065	FG12	00584906RL	120	2008/1/20
KELTY	C011666-006	A01-065	FG11	33105231	30	2009/2/19
SD	C012331-001	A01-067	FG12	00584706RR	60	2008/1/20
KELTY	C011666-008	A01-067	FG11	33105431	24	2009/2/19
SD	C012332-001	A01-068	FG12	00584706LR	40	2008/1/20
KELTY	C011666-009	A01-068	FG11	33105451	30	2009/2/19
SD	C012333-001	A01-069	FG12	00582906RL	80	2008/1/20
KELTY	C011666-010	A01-069	FG11	34005131	54	2009/2/19
SD	C012334-001	A01-070	FG12	00582906LL	40	2008/1/20
KELTY	C011666-011	A01-070	FG11	34005151	30	2009/2/19
SD	C012367-001	A01-071	FG12	00583006RR	60	2008/1/20
KELTY	C011666-012	A01-071	FG01	38005131	90	2009/2/12
SD	C012374-001	A01-072	FG12	00583006LR	40	2008/1/20
KELTY	C011666-013	A01-072	FG01	38005151	48	2009/2/12
SD	C012375-001	A01-073	FG13	00589706SL	80	2008/1/20
KELTY	C011666-014	A01-073	FG01	38005421	60	2009/2/12
SD	C012397-001	A01-074	FG01	00588906RR	48	2008/1/15
KELTY	C011837-001	A01-074	FG01	38005431	270	2009/2/12
SD	C012389-011	A01-075	FG01	00588906LR	40	2008/1/15
KELTY	C011837-002	A01-075	FG01	38005451	180	2009/2/12
SJK	C011846-001	A01-076	FG23	SJ01614F44	300	2008/2/3
KELTY	C011846-001	A01-076	FG01	38005531	30	2009/2/12
SJK	C011847-001	A01-077	FG23	SJ01614F54	300	2008/2/3
KELTY	C011847-001	A01-077	FG01	38005551	30	2009/2/12
SJK	C011848-001	A01-078	FG23	SJ01633I44	500	2008/2/3
KELTY	C011848-001	A01-078	FG01	38007121	60	2009/2/12
SJK	C011849-001	A01-079	FG23	SJ01654A44	1000	2008/2/3
KELTY	C011849-001	A01-079	YG01	38007133NB	30	2009/2/12
SJK	C011850-001	A01-080	FG23	SJ01654A64	250	2008/1/16
KELTY	C011850-001	A01-080	FG01	38007141	36	2009/2/12
EB	C012059-001	A01-081	FG31	EB10069	1000	2008/2/3
KELTY	C012059-001	A01-081	YG01	38007433NB	1	2009/2/12
SD	C012370-001	A01-082	FG11	00584806LL	120	2008/1/23
KELTY	C012108-001	A01-082	YG01	38007533NB	48	2009/2/12
KELTY	C012132-001	A01-083	FG25	31003231NB	90	2008/2/1
KELTY	C012132-001	A01-083	FG01	38205231	24	2009/2/12
KELTY	C012133-001	A01-084	FG25	31003232NB	30	2008/2/1
KELTY	C012133-001	A01-084	FG01	38205251	24	2009/2/12
KELTY	C012134-001	A01-085	FG25	31003251NB	30	2008/2/1
KELTY	C012134-001	A01-085	FG01	38205451	24	2009/2/12
KELTY	C012135-001	A01-086	FG25	31003252NB	30	2008/2/1
KELTY	C012135-001	A01-086	FG01	38407121NB	30	2009/2/5
KELTY	C012147-001	A01-087	FG11	33005122NB	30	2008/2/1
KELTY	C012147-001	A01-087	FG01	38407131NB	60	2009/2/5
KELTY	C012148-001	A01-088	FG11	33005151NB	30	2008/2/1
KELTY	C012148-001	A01-088	FG01	38407151NB	30	2009/2/5
KELTY	C012149-001	A01-089	FG11	33005421	60	2008/2/27
KELTY	C012149-001	A01-089	FG11	33005421	102	2009/1/28
KELTY	C012150-001	A01-090	FG11	33005422	180	2008/2/27
KELTY	C012150-001	A01-090	FG11	33005431	246	2009/1/28
KELTY	C012151-001	A01-091	FG11	33005431	600	2008/2/27
KELTY	C012151-001	A01-091	FG11	33005441	54	2009/1/28
KELTY	C012152-001	A01-092	FG11	33005441	30	2008/2/27
KELTY	C012152-001	A01-092	FG11	33005451	114	2009/1/28
KELTY	C012153-001	A01-093	FG11	33005442	150	2008/2/27
KELTY	C012153-001	A01-093	FG11	33005531	102	2009/1/28
KELTY	C012154-001	A01-094	FG11	33005451	360	2008/2/27
KELTY	C012154-001	A01-094	FG11	33005551	30	2009/1/28
KELTY	C012155-001	A01-095	FG11	33005531	120	2008/2/27
KELTY	C012155-001	A01-095	YG01	38007433NB	24	2009/1/28
KELTY	C012156-001	A01-096	FG11	33005551	72	2008/2/27
KELTY	C012156-001	A01-096	YG01	38007533NB	24	2009/1/28
KELTY	C012157-001	A01-097	FG11	33006411	30	2008/2/27
KELTY	C012157-001	A01-097	FG01	38007141	6	2009/1/28
KELTY	C012158-001	A01-098	FG11	33105231	60	2008/2/27
KELTY	C012158-001	A01-098	FG01	38005131	30	2009/1/28
KELTY	C012159-001	A01-099	FG11	33105251	60	2008/2/27
KELTY	C012159-001	A01-099	FG01	38005151	24	2009/1/28
KELTY	C012160-001	A01-100	FG11	33105431	102	2008/2/27
KELTY	C012160-001	A01-100	FG01	38005421	48	2009/1/28
KELTY	C012161-001	A01-101	FG11	33105451	60	2008/2/27
KELTY	C012161-001	A01-101	FG01	38005431	156	2009/1/28
KELTY	C012162-001	A01-102	FG11	34005131	72	2008/2/1
KELTY	C012162-001	A01-102	FG01	38005441	36	2009/1/28
KELTY	C012163-001	A01-103	FG11	34005151	48	2008/2/1
KELTY	C012163-001	A01-103	FG01	38005531	90	2009/1/28
KELTY	C012164-001	A01-104	FG11	34005231	120	2008/2/1
SJK	C012164-001	A01-104	FG23	SJ01317-07	200	2009/2/4
KELTY	C012165-001	A01-105	FG11	34005251	72	2008/2/1
SJK	C012165-001	A01-105	FG23	SJ01646F54	150	2009/3/2
KELTY	C012183-001	A01-106	FG01	38005131	132	2008/2/27
KELTY	C012184-001	A01-107	FG01	38005151	142	2008/2/27
KELTY	C012185-001	A01-108	FG01	38005231	48	2008/2/27
KELTY	C012186-001	A01-109	FG01	38005251	60	2008/2/27
KELTY	C012187-001	A01-110	FG01	38005331	48	2008/2/27
非合同产品	C012187-001	A01-110	CG01	ADVENTURE-S1011L	40	2009/1/15
KELTY	C012188-001	A01-111	FG01	38005351	48	2008/2/27
非合同产品	C012188-001	A01-111	CG01	ADVENTURE-S1011M	40	2009/1/15
KELTY	C012189-001	A01-112	FG01	38005421	90	2008/2/27
非合同产品	C012189-001	A01-112	CG01	CAMPING-S2031M	40	2009/1/30
KELTY	C012190-001	A01-113	FG01	38005431	480	2008/2/1
KELTY	C012191-001	A01-114	FG01	38005441	72	2008/2/27
KELTY	C012192-001	A01-115	FG01	38005451	90	2008/2/27
KELTY	C012193-001	A01-116	FG01	38005531	90	2008/2/27
KELTY	C012194-001	A01-117	FG01	38205231	48	2008/2/27
KELTY	C012197-001	A01-118	FG01	38205251	60	2008/2/27
KELTY	C012198-001	A01-119	FG01	38205451	48	2008/2/27
非合同产品	C012198-001	A01-119	CG01	CAMPING-S2031L	60	2009/2/10
SD	C013015-001	A01-122	FG13	00589706SL	60	2008/6/19
非合同产品	C012360-001	A01-122	CG26	CAMPING-S3031M	100	2009/2/10
FAIRY DOWN	C012387-001	A01-123	FG91021	FDA0001	20	2008/1/27
非合同产品	C012387-001	A01-123	CG25	CAMPING-S3041L	52	2009/2/10
FAIRY DOWN	C012387-002	A01-124	FG91021	FDA0002	58	2008/1/27
SJK	C012387-002	A01-124	FG24	SJ0536	200	2009/2/19
FAIRY DOWN	C012387-003	A01-125	FG91021	FDA0003	77	2008/1/27
SD	C012703-001	A01-125	FG01	00583807RR	8	2009/3/6
FAIRY DOWN	C012387-004	A01-126	FG91021	FDA0004	39	2008/1/27
SD	C012713-001	A01-126	FG01	00583807LR	8	2009/3/6
FAIRY DOWN	C012387-005	A01-127	FG91021	FDA0005	16	2008/1/27
COSTCO	C012387-005	A01-127	YG89	0701185740W	5000	2009/2/4
FAIRY DOWN	C012387-006	A01-128	FG91021	FDA0006	50	2008/1/27
SJK	C012387-006	A01-128	FG23	SJ01621G44	1000	2009/3/11
FAIRY DOWN	C012387-007	A01-129	FG91021	FDA0007	70	2008/1/27
UNIVERSELLE	C012387-007	A01-129	FG91321	R5-001	12	2009/1/31
FAIRY DOWN	C012387-009	A01-130	FG91021	FDA0009	8	2008/1/27
UNIVERSELLE	C012387-009	A01-130	FG91321	R5-002	12	2009/1/31
FAIRY DOWN	C012387-010	A01-131	FG91021	FDA0010	24	2008/1/27
UNIVERSELLE	C012387-010	A01-131	FG91321	R5-003	12	2009/1/31
FAIRY DOWN	C012387-011	A01-132	FG91021	FDA0011	32	2008/1/27
UNIVERSELLE	C012387-011	A01-132	FG91321	R5W-001	12	2009/1/31
FAIRY DOWN	C012387-012	A01-133	FG91021	FDA0012	16	2008/1/27
UNIVERSELLE	C012387-012	A01-133	FG91321	R5W-002	12	2009/1/31
FAIRY DOWN	C012388-001	A01-134	FG91011	FDA0013	10	2008/1/27
SD	C013875-001	A01-134	FG93001	037401CT03	29	2009/2/10
FAIRY DOWN	C012388-002	A01-135	FG91011	FDA0014	32	2008/1/27
SD	C013875-002	A01-135	FG93001	037401CT04	55	2009/2/10
FAIRY DOWN	C012388-003	A01-136	FG91011	FDA0015	65	2008/1/27
SD	C013711-001	A01-136	FG93001	037401CT05	43	2009/2/10
FAIRY DOWN	C012388-004	A01-137	FG91011	FDA0016	73	2008/1/27
SD	C013711-002	A01-137	FG91001	037401CT06	21	2009/2/10
FAIRY DOWN	C012388-005	A01-138	FG91011	FDA0017	41	2008/1/27
CRP	C012388-005	A01-138	FG31	76-0794-0	14	2009/3/4
FAIRY DOWN	C012388-006	A01-139	FG91011	FDA0018	10	2008/1/27
CRP	C012388-006	A01-139	FG31	76-0795-8	50	2009/3/4
FAIRY DOWN	C012389-001	A01-140	FG91321	FDA0019	8	2008/1/27
CRP	C012389-001	A01-140	FG31	76-0794-0	1000	2009/3/4
FAIRY DOWN	C012389-002	A01-141	FG91321	FDA0020	22	2008/1/27
CRP	C012389-002	A01-141	FG31	76-0795-8	1000	2009/3/4
FAIRY DOWN	C012389-003	A01-142	FG91321	FDA0021	44	2008/1/27
KELTY	C012389-003	A01-142	YG01	38007433NB	143	2009/3/4
FAIRY DOWN	C012389-004	A01-143	FG91321	FDA0022	42	2008/1/27
SD	C013301-001	A01-143	FG11	00584307RL	70	2009/2/15
FAIRY DOWN	C012389-005	A01-144	FG91321	FDA0023	26	2008/1/27
SD	C013299-001	A01-144	FG11	00584307LL	60	2009/2/15
FAIRY DOWN	C012389-006	A01-145	FG91321	FDA0024	8	2008/1/27
SD	C013309-001	A01-145	FG11	00584607RR	75	2009/2/15
FAIRY DOWN	C012389-007	A01-146	FG91321	FDA0025	8	2008/1/27
SD	C013302-001	A01-146	FG11	00584607LR	35	2009/2/15
FAIRY DOWN	C012389-008	A01-147	FG91321	FDA0026	22	2008/1/27
FAIRY DOWN	C012389-009	A01-148	FG91321	FDA0027	44	2008/1/27
FAIRY DOWN	C012389-010	A01-149	FG91321	FDA0028	42	2008/1/27
FAIRY DOWN	C012389-011	A01-150	FG91321	FDA0029	26	2008/1/27
FAIRY DOWN	C012389-012	A01-151	FG91321	FDA0030	8	2008/1/27
FAIRY DOWN	C012387-008	A01-152	FG91021	FDA0008	34	2008/1/27
非合同产品	d000020-001	A01-157	CG01	ADVENTURE-S1031M	24	2008/1/16
非合同产品	d000020-002	A01-158	CG01	ADVENTURE-S1031L	24	2008/1/16
非合同产品	d000020-003	A01-159	CG01	ADVENTURE-S1041M	48	2008/1/16
非合同产品	D000020-004	A01-160	CG01	ADVENTURE-S1041L	52	2008/1/16
非合同产品	d000020-005	A01-161	CG01	ADVENTURE-S2011M	48	2008/1/16
非合同产品	d000020-006	A01-162	CG01	ADVENTURE-S2011L	52	2008/1/16
非合同产品	d000020-007	A01-163	CG01	ADVENTURE-S2021M	48	2008/1/16
非合同产品	d000020-008	A01-164	CG01	ADVENTURE-S2021L	52	2008/1/16
非合同产品	d000020-009	A01-165	CG01	CAMPING-S1051M	24	2008/1/16
非合同产品	d000020-010	A01-166	CG01	CAMPING-S1051L	24	2008/1/16
非合同产品	d000020-011	A01-167	CG12	CAMPING-S3011M	48	2008/1/16
非合同产品	d000020-012	A01-168	CG12	CAMPING-S3011L	52	2008/1/16
非合同产品	d000020-013	A01-169	CG11	CAMPING-S3021M	48	2008/1/16
非合同产品	d000020-014	A01-170	CG11	CAMPING-S3021L	52	2008/1/16
非合同产品	d000020-015	A01-171	CG26	CAMPING-S3031M	52	2008/1/16
非合同产品	d000020-016	A01-172	CG26	CAMPING-S3031L	48	2008/1/16
非合同产品	d000020-017	A01-173	CG25	CAMPING-S3041M	80	2008/1/16
非合同产品	d000020-018	A01-174	CG25	CAMPING-S3041L	120	2008/1/16
OASE OUTDOORS APS	C012010-001	A02-001	FG23	330603	500	2008/2/28
SJK	C012010-001	A02-001	FG31	SJ05123G24	500	2009/3/11
SJK	C010971-001	A02-002	FG23	SJ01621G54	300	2008/1/16
SJK	C010972-001	A02-003	FG23	SJ01633I44	250	2008/3/3
CRP	C011342-001	A02-004	FG31	49140F-C	216	2008/2/16
SJK	C011342-001	A02-004	FG24	SJ0531	500	2009/1/1
SJK	C011632-001	A02-005	FG23	SJ01621G54	300	2008/3/3
WENZEL	C011632-001	A02-005	FG31	SG11072	250	2009/3/1
SJK	C011633-001	A02-006	FG23	SJ01633I54	500	2008/3/3
WENZEL	C011633-001	A02-006	FG31	SG11084	350	2009/3/1
SJK	C011634-001	A02-007	FG23	SJ01646F44	500	2008/3/3
WENZEL	C011634-001	A02-007	FG31	SG11085	150	2009/3/1
EB	C011674-001	A02-008	FG31	EB10069F	1500	2008/2/25
SJK	C011674-001	A02-008	YG01	SJ0545	250	2009/3/12
SD	C012644-005	A02-009	FG01	00589806RL	44	2008/2/15
SJK	C011789-001	A02-009	YG01	SJ01564F44	75	2009/3/9
SD	C012644-004	A02-010	FG01	00589806LL	16	2008/2/15
SJK	C011789-002	A02-010	YG01	SJ01564F54	50	2009/3/9
SD	C012867-001	A02-011	FG01	00589906RL	16	2008/4/24
KELTY	C011789-003	A02-011	FG25	31007411NB	42	2009/3/12
SD	C012865-001	A02-012	FG01	00589906LL	16	2008/4/24
KELTY	C011789-004	A02-012	FG25	31007431NB	90	2009/3/12
SD	C012871-001	A02-013	FG01	00588906RR	72	2008/2/15
KELTY	C011789-005	A02-013	FG25	31007551NB	30	2009/3/12
SD	C012884-001	A02-014	FG01	00588906LR	48	2008/2/15
KELTY	C011789-006	A02-014	FG11	33005421	120	2009/3/12
SD	C012884-002	A02-015	FG01	00583706RL	20	2008/2/15
KELTY	C011789-007	A02-015	FG11	33005431	288	2009/3/12
SD	C012884-003	A02-016	FG01	00583706LL	12	2008/2/15
KELTY	C011789-008	A02-016	FG11	33005441	66	2009/3/12
SD	C012884-004	A02-017	FG01	00584006RR	100	2008/2/15
KELTY	C011789-009	A02-017	FG11	33005451	126	2009/3/12
SD	C010372-001	A02-018	FG01	00584006LR	56	2009/4/27
SD	C012246-003	A02-019	FG01	00588506RR	60	2008/2/15
KELTY	C011789-011	A02-019	FG11	33005551	42	2009/3/12
SD	C012848-001	A02-020	FG01	00588506LR	132	2008/2/15
KELTY	C011789-012	A02-020	YG01	38007433NB	24	2009/3/12
SD	C012849-001	A02-021	FG01	00583806RR	28	2008/2/15
KELTY	C011789-013	A02-021	YG01	38007533NB	24	2009/3/12
SD	C012896-001	A02-022	FG01	00583806LR	12	2008/2/15
KELTY	C011789-014	A02-022	FG01	38007121	18	2009/3/12
SD	C012896-002	A02-023	FG12	00584906RL	88	2008/2/15
KELTY	C011789-015	A02-023	FG01	38007141	12	2009/3/12
SD	C012897-001	A02-024	FG12	00584906LL	88	2008/2/15
KELTY	C011789-016	A02-024	FG01	38005131	42	2009/3/12
SD	C012897-002	A02-025		00589706SL	30	2008/6/19
KELTY	C011789-017	A02-025	FG01	38005151	24	2009/3/12
SD	C012899-001	A02-026	FG41	58350500	48	2008/2/15
KELTY	C011789-018	A02-026	FG01	38005421	48	2009/3/12
SJK	C011854-001	A02-027	FG23	SJ01614F44	300	2008/3/3
KELTY	C011854-001	A02-027	FG01	38005431	180	2009/3/12
SJK	C011855-001	A02-028	FG23	SJ01621G44	600	2008/3/3
KELTY	C011855-001	A02-028	FG01	38005441	36	2009/3/12
SJK	C011856-001	A02-029	FG23	SJ01633I44	500	2008/3/3
KELTY	C011856-001	A02-029	FG01	38005451	78	2009/3/12
SJK	C011857-001	A02-030	FG23	SJ01654A44	1000	2008/3/3
KELTY	C011857-001	A02-030	FG01	38005531	108	2009/3/12
SJK	C011858-001	A02-031	FG23	SJ01654A64	250	2008/3/3
KELTY	C011858-001	A02-031	FG01	38005551	48	2009/3/12
OASE OUTDOORS APS	C012010-002	A02-032	FG31	330612	600	2008/2/28
KELTY	C012010-002	A02-032	YG52	38007002	80	2009/3/12
OASE OUTDOORS APS	C012010-003	A02-033	FG31	330620	500	2008/2/28
KELTY	C012010-003	A02-033	FG52B	39007002	80	2009/3/12
OASE OUTDOORS APS	C012010-004	A02-034	FG31	330621	1000	2008/2/28
KELTY	C012010-004	A02-034	FG25	31007433NB	54	2009/2/16
OASE OUTDOORS APS	C012010-005	A02-035	FG31	330624	750	2008/2/28
KELTY	C012010-005	A02-035	FG01	38007121	12	2009/2/16
OASE OUTDOORS APS	C012010-006	A02-036	FG31	330627	500	2008/2/28
KELTY	C012010-006	A02-036	FG01	38005451	66	2009/2/16
BLACK WATER DESIGNS	C012232-002	A02-037	FG01	106-18952-LT	4	2008/3/15
KELTY	C012232-002	A02-037	FG01	38005551	48	2009/2/16
BLACK WATER DESIGNS	C012232-006	A02-038	FG01	106-18982-LT	15	2008/3/15
BLACK WATER DESIGNS	C012232-007	A02-039	FG01	106-18983-LT	7	2008/3/15
